6b30da5,Aasif Versi,3 weeks ago,can view history in graph form
59dc3bc,Aasif Versi,4 weeks ago,can add favorites from search
32211ca,Aasif Versi,4 weeks ago,fixed merge conflicts
1c259ae,goodmattg,4 weeks ago,search validation done
83c7d69,goodmattg,4 weeks ago,search validation done
679a0d4,Aasif Versi,4 weeks ago,multiplication does what it is supposed to
3e5cdb4,versi786,4 weeks ago,Merge pull request #7 from cis-upenn/aasif-datepicker
ff14cef,Aasif Versi,4 weeks ago,added date picker
5781d30,James,4 weeks ago,fixed rest of merge conflicts
dad0aec,James,4 weeks ago,fixed merge conflict in app.js
dda70f9,James,4 weeks ago,add food from favorites list
4305815,Aasif Versi,4 weeks ago,changed some interface stuff
33e98a4,Aasif Versi,4 weeks ago,changed view of facebook login button
45fff8c,versi786,4 weeks ago,Merge pull request #6 from cis-upenn/enrique2
3749e39,Aasif Versi,4 weeks ago,removed merge thing
0257ec0,Aasif Versi,4 weeks ago,merged from master into local
2944047,emitch001,4 weeks ago,Calculator one displays results and asks to update database
e8f1ad1,goodmattg,4 weeks ago,signup has validation
e740035,goodmattg,4 weeks ago,login has simple validation
55936c7,goodmattg,4 weeks ago,validation on new entry form improved. Swapped to stored version of jQuery
8209e69,emitch001,4 weeks ago,exercises displayed on users page and factored into calories left
3ed8651,versi786,4 weeks ago,Merge pull request #5 from cis-upenn/matt
264e71a,goodmattg,4 weeks ago,fixed fb login and user page
